"date","close","volume","open","high","low"

"2017/12/15","173.5500","41334200.0000","172.8900","173.5500","170.0000"
"2017/12/14","171.7500","32798190.0000","173.1100","173.3900","169.6100"
"2017/12/13","176.4700","18622660.0000","175.1900","177.7000","174.3000"
"2017/12/12","174.6400","22620890.0000","178.0000","178.1600","173.7700"
"2017/12/11","179.2900","15612400.0000","179.1900","180.6800","178.1500"
"2017/12/08","177.6200","23531130.0000","177.7200","178.9600","176.3700"
"2017/12/07","174.4700","15683080.0000","173.7600","175.8200","172.2600"
"2017/12/06","172.6300","23787250.0000","168.3000","173.2300","167.8653"
"2017/12/05","168.9600","31587150.0000","165.2800","172.9600","164.2500"
"2017/12/04","169.5800","35867700.0000","177.2000","177.5800","168.2600"
"2017/12/01","174.6100","26767270.0000","175.2700","179.8000","173.8000"
"2017/11/30","177.0800","25806000.0000","179.5300","179.8000","176.3200"
"2017/11/29","179.9100","40167810.0000","185.2500","185.4100","173.6200"
"2017/11/28","186.6900","13321870.0000","188.8300","189.1000","186.5000"
"2017/11/27","188.0300","14939040.0000","190.4900","191.4503","187.5500"
"2017/11/24","191.1900","9887763.0000","189.3900","191.7000","188.7000"
"2017/11/22","189.8400","14399670.0000","191.5400","191.7500","189.3700"
"2017/11/21","190.9000","19598400.0000","190.3500","191.5600","188.8000"
"2017/11/20","188.0000","25925840.0000","187.6000","190.0000","186.6110"
"2017/11/17","185.1300","13415770.0000","185.9200","186.5000","184.6700"
"2017/11/16","185.4300","18376040.0000","183.3100","186.2700","183.1200"
"2017/11/15","181.4800","16524530.0000","179.3700","181.8800","176.7356"
"2017/11/14","181.7900","14445780.0000","184.3000","184.3800","181.1500"
"2017/11/13","184.5400","17164020.0000","186.7700","187.8800","184.0000"
"2017/11/10","186.4100","14987690.0000","187.0300","187.1700","185.4000"
"2017/11/09","185.1300","19705730.0000","184.2100","185.1300","181.0500"
"2017/11/08","185.9000","13931400.0000","187.9800","188.1500","185.1000"
"2017/11/07","188.5100","17747070.0000","189.5800","189.8600","187.0000"
"2017/11/06","187.8400","19834840.0000","184.0700","188.2500","184.0000"
"2017/11/03","183.2100","19670240.0000","186.5100","186.9300","182.0600"
"2017/11/02","184.8100","41199480.0000","190.9900","191.2200","183.3100"
"2017/11/01","186.0800","28214690.0000","187.8800","188.8800","183.5800"
"2017/10/31","184.8900","21180680.0000","183.5700","185.1200","181.8110"
"2017/10/30","181.5800","20187930.0000","178.4300","181.9000","177.5900"
"2017/10/27","176.1500","19674110.0000","173.1900","177.0000","171.1100"
"2017/10/26","170.3200","13422500.0000","170.6200","171.4500","168.5800"
"2017/10/25","170.2200","18091890.0000","174.6900","175.4400","169.3000"
"2017/10/24","173.7000","11911310.0000","174.0000","175.9800","173.2600"
"2017/10/23","173.1300","17588820.0000","177.8000","178.0098","173.0500"
"2017/10/20","177.3200","11939510.0000","179.0200","179.5200","177.0800"
"2017/10/19","177.9300","13447490.0000","177.0010","179.6100","175.4500"
"2017/10/18","179.6100","21745600.0000","177.0900","180.0000","176.2800"
"2017/10/17","175.3200","20104080.0000","179.5800","180.1200","175.3000"
"2017/10/16","179.5600","12839030.0000","180.0000","180.0500","178.5100"
"2017/10/13","178.4500","18098990.0000","180.9600","181.4000","177.9700"
"2017/10/12","180.5300","15426700.0000","184.0400","184.3900","180.3478"
"2017/10/11","184.6900","11944840.0000","183.0000","184.7000","182.6005"
"2017/10/10","183.1200","13182770.0000","181.6500","184.4600","181.3600"
"2017/10/09","182.0900","14992900.0000","178.9700","183.1322","178.7500"
"2017/10/06","179.2000","8732723.0000","177.8500","179.8700","177.6100"
"2017/10/05","178.8900","11879930.0000","179.0000","179.7300","176.0300"
"2017/10/04","178.7100","11413220.0000","178.0600","180.0000","177.3000"
"2017/10/03","178.5600","15145420.0000","176.0600","178.7800","173.6100"
"2017/10/02","173.6100","12551290.0000","174.5700","175.1300","172.5700"
"2017/09/29","172.7100","13382620.0000","171.1100","173.5400","170.7400"
"2017/09/28","170.2400","13944110.0000","170.9100","171.8800","169.5667"
"2017/09/27","170.9900","19401440.0000","169.8400","171.9500","169.4500"
"2017/09/26","167.0200","23665000.0000","170.0100","171.9000","166.7900"
"2017/09/25","169.5900","33999860.0000","176.4800","177.0000","167.5000"
"2017/09/22","178.1400","12736970.0000","176.2000","178.4200","175.6800"
"2017/09/21","177.3900","14568150.0000","178.0500","178.8611","175.3000"
"2017/09/20","177.9500","15379730.0000","180.0200","180.5000","176.1510"
"2017/09/19","180.0700","14735480.0000","180.6900","180.8700","179.2500"
"2017/09/18","179.9800","22587620.0000","178.8900","180.2900","177.7500"
"2017/09/15","176.7000","26554710.0000","177.9000","179.7500","176.7000"
